index,topic_idx,0,1,2,3,4,5,6
45654,2,0.18428008258342743,0.17916320264339447,0.48614662885665894,0.14133882522583008,0.004415655508637428,0.002345557324588299,0.00230999244377017
45655,3,0.000968651962466538,0.0009699253714643419,0.00465172715485096,0.9902527332305908,0.0014315140433609486,0.000985227175988257,0.0007401849725283682
45656,2,0.18976758420467377,0.03836658224463463,0.7429060339927673,0.007662731222808361,0.005582837387919426,0.001534863724373281,0.014179393649101257
45657,2,0.17485368251800537,0.0106676509603858,0.7530405521392822,0.044348422437906265,0.009648174047470093,0.0023781622294336557,0.005063322838395834
45658,3,0.0011513590579852462,0.0007217096863314509,0.005893552675843239,0.9891436696052551,0.0013643420534208417,0.0009230041760019958,0.000802254187874496
45659,0,0.8984115719795227,0.014214067719876766,0.04990997537970543,0.029924124479293823,0.0027593474369496107,0.0034583278466016054,0.0013227025046944618
45660,5,0.0006569108227267861,0.0006047915085218847,0.0009577344171702862,0.0005907609593123198,0.003598615061491728,0.9927092790603638,0.0008818390197120607
45661,3,0.0011716964654624462,0.0010236944071948528,0.00800162274390459,0.9848056435585022,0.0030618321616202593,0.0007380605675280094,0.001197333331219852
45662,4,0.0005311440327204764,0.000717930612154305,0.0018131030956283212,0.0004368203226476908,0.9926788806915283,0.0007463987567462027,0.003075788728892803
45663,4,0.014374567195773125,0.2025839388370514,0.00876010861247778,0.004347643349319696,0.7599698305130005,0.0031605823896825314,0.006803307216614485
45664,4,0.0004883322981186211,0.0005608681822195649,0.005100367125123739,0.0014192177914083004,0.984466552734375,0.0008284474606625736,0.007136224303394556
45665,6,0.00042398483492434025,0.0008782166405580938,0.0080031743273139,0.0004988570581190288,0.0031425158958882093,0.00055643729865551,0.9864968657493591
45666,4,0.0006890635122545063,0.0008243507472798228,0.002799630630761385,0.0004738023562822491,0.9913274645805359,0.00036254263250157237,0.00352318212389946
45667,5,0.0007532751769758761,0.0006283174734562635,0.0010674746008589864,0.0006244691903702915,0.003604356199502945,0.9925521612167358,0.0007699319976381958
45668,6,0.0004254353989381343,0.0009715905180200934,0.004621734376996756,0.0005970528000034392,0.0027379055973142385,0.001413238700479269,0.9892330169677734
45669,1,0.010181895457208157,0.9776772856712341,0.008725429885089397,0.000736476737074554,0.0014819656498730183,0.000526529795024544,0.0006705393898300827
45670,6,0.0014082288835197687,0.004599313717335463,0.18207354843616486,0.038591254502534866,0.07220415771007538,0.002851685509085655,0.6982717514038086
45671,2,0.001123844995163381,0.004173182416707277,0.9842012524604797,0.0025078621692955494,0.0016088300617411733,0.0005586426123045385,0.005826499313116074
45672,4,0.00201010936871171,0.008589248172938824,0.0028245244175195694,0.0015457395929843187,0.9816673994064331,0.0007448118994943798,0.0026182024739682674
45673,4,0.00488405441865325,0.08746883273124695,0.007102638483047485,0.002828229684382677,0.887373685836792,0.002611476229503751,0.007731020450592041
45674,4,0.0006980971666052938,0.0006582496571354568,0.0039963009767234325,0.0005038770032115281,0.9909871220588684,0.0005076781380921602,0.0026486506685614586
45675,4,0.0036568865180015564,0.01309737004339695,0.04740550369024277,0.0029086007270962,0.9277418851852417,0.0006097903824411333,0.004579830914735794
45676,0,0.8438674807548523,0.014583300799131393,0.09821748733520508,0.006330360658466816,0.031012795865535736,0.001534442650154233,0.004454109352082014
45677,0,0.959267258644104,0.012232137843966484,0.013396894559264183,0.008820916526019573,0.004197561647742987,0.001160491374321282,0.0009247357374988496
45678,0,0.9622507691383362,0.01760491169989109,0.012857678346335888,0.0022693928331136703,0.002408762462437153,0.0016750195063650608,0.0009334866772405803
45679,3,0.0018244852544739842,0.0019673225469887257,0.020696992054581642,0.9725416302680969,0.0012657904298976064,0.0008184331236407161,0.0008853955660015345
45680,6,0.000535344413947314,0.0008286596275866032,0.0146805290132761,0.0006489168154075742,0.0048352740705013275,0.0004046706890221685,0.9780665636062622
45681,2,0.3743741512298584,0.04514583572745323,0.5063360929489136,0.018331702798604965,0.006130366586148739,0.0032758626621216536,0.04640603065490723
45682,5,0.0010821875184774399,0.0006753227789886296,0.001319698290899396,0.0007149702869355679,0.00459694629535079,0.9905688762664795,0.0010419798782095313
45683,1,0.2352982610464096,0.4914327561855316,0.2618442475795746,0.0043262457475066185,0.0027394823264330626,0.0017807919066399336,0.002578118583187461
45684,3,0.0012111063115298748,0.0010929174022749066,0.010029786266386509,0.9844680428504944,0.0015506809577345848,0.0008394881733693182,0.0008079672115854919
45685,4,0.020736277103424072,0.10489211976528168,0.0515868104994297,0.0034056068398058414,0.8132842183113098,0.001140532549470663,0.004954377189278603
45686,4,0.000624731823336333,0.0011077121598646045,0.003047369420528412,0.0005665250355377793,0.9884618520736694,0.0006436280091293156,0.00554823549464345
45687,5,0.0009976044530048966,0.0006906350026838481,0.0011827440466731787,0.0012136162258684635,0.0025662712287157774,0.9924059510231018,0.0009431923972442746
45688,2,0.001870115869678557,0.2125929445028305,0.6476000547409058,0.0030260435305535793,0.012404476292431355,0.0018329811282455921,0.12067346274852753
45689,4,0.000587262271437794,0.0008333834121003747,0.0015762167749926448,0.0004645956796593964,0.9927617907524109,0.0005061292904429138,0.003270496381446719
45690,5,0.0009155619773082435,0.0007525176624767482,0.001490292721427977,0.0013888438697904348,0.00843274686485529,0.985772430896759,0.0012476051924750209
45691,4,0.0005169931682758033,0.0006165556260384619,0.001941854483447969,0.0004922770895063877,0.9881362915039062,0.0005401179660111666,0.007755978032946587
45692,6,0.00037824924220331013,0.0007778272265568376,0.006199945695698261,0.0006778961978852749,0.0022841542959213257,0.0008533201762475073,0.9888285994529724
45693,5,0.0013588330475613475,0.0009086643694899976,0.001876990427263081,0.001003782730549574,0.019280044361948967,0.9738776087760925,0.001694033620879054
45694,5,0.0013152348110452294,0.002220593625679612,0.0019362609600648284,0.001083572395145893,0.002174125285819173,0.9905334711074829,0.0007366549107246101
45695,5,0.0010167068103328347,0.0007679520058445632,0.0018382311100140214,0.0009297476499341428,0.016711678355932236,0.9763312935829163,0.0024044960737228394
45696,5,0.0014576237881556153,0.0008159064454957843,0.001730967778712511,0.0009945285273715854,0.01595328375697136,0.9774878025054932,0.0015598185127601027
45697,3,0.0048508779145777225,0.003329314524307847,0.04870149493217468,0.9394480586051941,0.0017146097961813211,0.0010544969700276852,0.0009011740330606699
45698,0,0.8989734649658203,0.06707707047462463,0.026140296831727028,0.0032891342416405678,0.0019332210067659616,0.00170443847309798,0.0008822685922496021
45699,5,0.0005509437760338187,0.0006528295925818384,0.0011100696865469217,0.0005017196526750922,0.002241181442514062,0.9940561056137085,0.0008871063473634422
45700,3,0.0010063897352665663,0.0009190483251586556,0.004804819356650114,0.9899994730949402,0.0015231992583721876,0.0008756587048992515,0.0008713586139492691
45701,6,0.00037874162080697715,0.0007358047878369689,0.005610157735645771,0.00048682218766771257,0.004148528445512056,0.0005942110437899828,0.9880457520484924
45702,1,0.0069860233925282955,0.985401451587677,0.0035791450645774603,0.0007857604650780559,0.0018620663322508335,0.0006428504711948335,0.0007426203810609877
45703,6,0.0032784671057015657,0.003604211611673236,0.20453375577926636,0.0022941376082599163,0.010852501727640629,0.0006286698626354337,0.7748082280158997
45704,0,0.9412468075752258,0.036819614470005035,0.013969779014587402,0.0019924414809793234,0.003772550728172064,0.0012150767724961042,0.0009836918907240033
45705,4,0.0004940956714563072,0.0005795918405056,0.0021428668405860662,0.0004969691508449614,0.9921934604644775,0.00046014567487873137,0.0036328905262053013
45706,6,0.0004090979928150773,0.0007231353083625436,0.004251732025295496,0.0006047319620847702,0.0032594637013971806,0.0006637334008701146,0.990088164806366
45707,4,0.0005829812143929303,0.0006728303269483149,0.0027507359627634287,0.0004116904456168413,0.9886906147003174,0.0004491999570745975,0.006441934034228325
45708,5,0.0015832077478989959,0.0014192640082910657,0.002538910135626793,0.0016683179419487715,0.04347868263721466,0.9464161992073059,0.0028954020235687494
